sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
1:AVWMS,3000,51,6,571,63.66021568626847,0.0,19.42112111658499,2494.084138112898,131503.333
2:AVWMS,3000,51,7,1220,69.34393316329523,0.0,38.11120850642174,4894.288030519932,131503.333
4:AVWMS,2400,59,7,1056,82.45952176063754,0.0,62.23582190182299,7986.348004199297,131403.74958333332
8:AVWMS,4800,113,6,1297,144.01156679754712,0.0,67.17420510523958,8593.72775073122,131002.3275
16:AVWMS,4800,207,7,18124,711.8470301279903,0.0,65.90419178119808,8499.031053381537,132055.45145833332
32:AVWMS,9600,433,7,30189,1470.8678139659344,0.0,67.24101702038243,8650.93899661606,131743.41979166667
64:AVWMS,9600,823,6,42178,2462.026958231964,0.0,67.2363076061073,8600.755922846774,130988.3659375
TOTAL,37200,377,6,42178,1510.084593977113,0.0,53.02189148471274,6805.471958917922,131432.56663978496
