sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
1:Orthofoto,3000,30,5,109,14.64309875751107,1.0,32.38376925484947,4198.077485673555,132746.479
2:Orthofoto,3000,30,5,1065,24.125938275363854,1.0,64.62731581214993,8377.977169222588,132746.479
4:Orthofoto,2400,34,5,1079,34.690658842655324,1.0,105.3740779768177,13815.819309182363,134258.81625
8:Orthofoto,4800,64,5,1108,53.26077203863124,1.0,117.87529775791361,15185.49500238667,131918.62229166666
16:Orthofoto,4800,123,7,5130,286.27817687732784,1.0,116.94481666463638,15168.355663372517,132818.16708333333
32:Orthofoto,9600,244,6,11083,630.7637588768787,1.0,118.64888581280667,15405.909070324955,132960.8009375
64:Orthofoto,9600,489,6,18105,1113.0289313302155,1.0,116.5826704717955,15084.740234019218,132496.31302083333
TOTAL,37200,220,5,18105,681.6580984622478,1.0,91.4310432970231,11851.858715765587,132737.22892473117
