sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
1:Orthofoto,3000,204,6,4608,282.05120397840295,1.0,4.897303544668306,592.6341321702646,123916.63
2:Orthofoto,3000,204,5,4712,285.51829681767623,1.0,9.667564676007682,1169.8945653885878,123916.63
4:Orthofoto,2400,221,6,4978,301.25959709816715,1.0,17.369152385363595,2125.448823251234,125306.03375
8:Orthofoto,4800,426,6,9962,600.9382245422338,1.0,18.080049418801742,2174.3518071280123,123148.79229166667
16:Orthofoto,4800,805,5,58460,2835.626402936608,1.0,17.905036164442837,2168.0090246744453,123989.76583333334
32:Orthofoto,9600,1587,5,64091,5377.915865258552,1.0,18.157367635627025,2197.339374529516,123920.79979166666
64:Orthofoto,9600,3084,5,65817,8793.258367535662,1.0,18.378094842455695,2208.456328199631,123051.88864583333
TOTAL,37200,1411,5,65817,5454.34085080237,1.0,14.060418221848455,1698.4346316492881,123694.54701612903
